ア,6317894
ン,15043300
パ,1510048
サ,1927486
ド,4183258
"
",15633435
（,6402505
&,242844
a,2875804
m,1435327
p,692241
;,271151
",",609134
 ,9484963
）,6399590
は,19786047
、,31478524
並,112114
立,1308760
助,204643
詞,112932
「,3849676
…,40871
と,18075852
」,3849024
を,16970604
意,531874
味,271990
す,5790171
る,20588654
記,942545
号,614992
で,15956640
あ,6925302
。,22193507
ラ,5972731
テ,2723284
語,818589
表,1052790
接,295272
続,614726
"""",1145048
e,3291755
t,2070631
の,38372631
合,1919963
字,302584
起,368214
源,176853
現,1193883
代,1837140
フ,3565530
ォ,603488
ト,7136729
も,6161476
T,1162435
r,2186901
b,452214
u,1039237
c,1084072
h,881709
M,1067505
S,1618477
な,11123032
ど,2165618
一,2325369
部,1953783
こ,5964225
が,14562532
容,267525
易,97202
に,26226765
わ,2015179
か,7369202
形,704373
使,737883
用,1830693
し,17014206
て,15766314
い,14654603
.,4316638
英,260913
教,906634
育,339506
行,2404066
う,4357526
学,2933001
校,902839
ル,8897381
ァ,860925
ベ,1129320
ッ,5001109
復,259942
唱,70590
場,1745020
そ,2820385
文,865409
自,1243620
体,1129544
単,259160
A,1781296
I,1119109
つ,2283157
伝,373729
統,429952
的,1683506
れ,12168881
s,1588357
よ,4135331
え,1982350
ら,7427393
た,21385637
ま,4142277
最,1044196
後,2247490
2,9755201
7,3210982
番,675792
目,1020508
加,755493
広,442381
く,3263388
読,131845
n,2132315
d,926602
っ,7825383
結,716216
果,440159
X,216436
Y,227426
Z,109928
レ,3385526
ー,20070711
ズ,1643882
繰,60823
り,6426301
返,129841
さ,7025728
ち,1470138
訛,2811
き,2932009
言,611296
葉,245935
1,14414649
8,3695075
3,4410789
年,10083602
般,224223
法,925992
＝,181214
マ,2686825
リ,6758869
・,7765053
ペ,659500
身,675882
著,163917
作,1915463
め,3265583
è,4362
',122300
呼,453577
ば,1112381
誤,49235
俗,37273
説,421566
歴,588760
史,437199
世,1086770
紀,319791
古,410957
ロ,3480956
筆,92754
遡,11408
E,1056528
繋,32752
げ,606888
書,659529
左,160867
図,229981
変,553783
遷,33248
流,507340
麗,26172
増,241016
新,1045380
様,443698
々,476747
極,157204
頻,28232
繁,58285
4,3746110
中,2524841
頃,192062
お,2491162
け,2726915
例,293851
9,6349114
カ,3043216
グ,2532790
小,913806
至,113714
過,288328
程,217954
廃,187050
次,570905
第,1247237
元,709235
化,1079051
6,3260984
